Reviews,Annotator 1,Annotator 2
"Bought an Iphone 15 Pro hoping to receive an excellent product, cause I never had problems before, buyinh cell phones on Amazon. However, the cell phone came with defects that did not allow me to use the microphone, answer calls or record videos. Despite having reported the problem and receiving a refund, this company, BIDALLIES, withheld a large sum of money from what I had paid and did not cover the cost of shipping the cell phone in the refund they gave me. In the end, it was a total waste of money.",Negative,Negative
"The seller failed quality control, the esim could not be activated, device was not cleared for use. Amazon wanted me to rewrite this review to be more polite. This is not a product review of Iphone 15 pro it is a review of the seller",Negative,Negative
"I bought the excellent Refurbished option, which is supposed to be the best and the screen is not original, the front camera has a problem that makes it difficult to focus too. Very bad experience. In that photo you can see that tempered glass doesn't look good because the screen has ripples when it's not original",Negative,Negative
"The original post (with pictures) was not posted due to some guidelines issue, but the screen is very scratched, which is unacceptable for something that is supposed to be in excellent conditions. One of the scratches is so deep and so long that it almost looks as of the screen was cracked",Negative,Negative
"I like this phone, but the scratches are disappointing and the battery life on the phone is awful. I’m practically tethered to a cable. I’ve lost 7% in less than an hour and this device has apparently only gone through 6 battery cycles. Really disappointed, this is not at all what I thought it was.",Negative,Negative
I received this phone with a dead pixel in the screen. I'm upset because its so much money to buy this phone and If I keep it I would have to pay out of pocket to fix the screen. They said they cant send me a new phone and to just order a new one.....Why would I order a new phone if you don't fix the phone you gave me. I'm upset because it was suppose to be a gift. BUYER BEWARE if the phone has something wrong with it don't try to get another one. Wouldn't recommend anyone to go with this company since they don't care about the product they give out. I wouldn't care about scratches on the phone itself but the screen is vital and wasn't expecting to maybe pay for a whole new screen.,Negative,Negative
Took the phone to T-Mobile to transfer my number from my other phone was told by T-Mobile this phone was reported as lost or stolen unusable phone. I can’t believe it’s being sold on Amazon.,Negative,Negative
When going through the process of setting up this phone with the help of my service provider I was told the phone I received was reported as stolen. The phone could not be fully set up as it was stolen! It was a total waste of time and money to purchase this phone. I DO NOT recommend purchasing this item as you could unknowingly receive a STOLEN phone and not be able to use it! Stay away!! I wish I could give this product a zero stars.,Negative,Negative
Phone looked good but it had a screen protector on it- we removed it to find a crack in the screen. Not what we expected.,Negative,Negative
Phone will not download any apps. Contacted apple on the problem. Says that it needs to be fixed. Your better off just buying new!,Negative,Negative
"the phone it self is good. the company that ebay uses who refurbish these phones to sell suck, the phone works but the refreshing company didn’t check to see if the charging systems and ports were operable prior to selling. so when they say it has been through rigorous testing and all that it’s all a lie. simply put",Negative,Negative
BUYER BEWARE. TOTALLY FRAGILE. POOR BATTERY LIFE,Negative,Negative
"After several hours spent transferring files and setting up the new (refurbished) phone, I finally tested the cameras. Then I discovered the hidden issue: the front camera did not work at all and the main camera had something that looked like a broken lens, which made half the pictures (those taken with a certain magnification) include a reddish broken jagged shape, cutting across the screen. Too bad this turned out to be a waste of time. For close to $1000 I cannot accept a broken product.",Negative,Negative
Locked and useless. Only option was to return and purchase from another seller,Negative,Negative
I have just received the phone and it is Locked! Need to return it - what a waste!,Negative,Negative
DO NOT BUY THIS PRODUCT! I received one of these phones and the product is definitely stolen/unpaid. My service was cancelled because I activated my sim on this phone.,Negative,Negative
"These phones are reported stolen or are not paid off, you will not be able to unlock. The phone is useless. Please do not buy it is not worth your money you are better off buying an iPhone brand new or through your service provider. The worst service I have received in my whole life",Negative,Negative
was write with sim slot but it s only E sim and if you travel europe you need sim tray.I sent back,Negative,Negative
"If you can’t use your phone all day then it shouldn’t get anything more than a star. Read user complaints and skip this version… this has been going on for months and Apple has not provided a fix for it. I’m going back to my 12 PM. Full charge at 7 and I need a charger at 1 PM with normal use, mostly emails and Teams chats.",Negative,Negative
There is some issue with the phone I bought it’s don’t do any of the new features iPhone 15 pro have . Cheap quality . Was wast of money.,Negative,Negative
Straight out the box doesn’t turn on even after charge. What a bummer and now I have to wait longer to return and order a new phone. Huge let down!,Negative,Negative
"Different Box, missing charger header, charger color is black, phone is white. So weird! Possibly it would be working fine, but I am not going to open it further. I was thinking it would be like one time open, but I found it different.",Negative,Negative
It is very old used phone and a charger line is also dirty. I used my phone over 2 year but mine looks better. I decided to return it right away.,Negative,Negative
Phone was stole had to return. They did refund money fast though... Just pain to set up then reset my old phone after new one wouldn't work.,Negative,Negative
Do not purchase from this reseller. My phone was stolen and could not be activated after extensive wasted time on phone with my carrier,Negative,Negative
I paid $1000 for this piece of crap. The setup procedure doesn't work. I cannot emphasize enough what a waste of time and money this iphone is. Don't buy it. Don't buy it. Don't buy it.,Negative,Negative
"Looks like coming from China, it supposed to be a material not plastic, the quality is very bad",Negative,Negative
Screen full of scratches,Negative,Negative
I will never ever buy another Iphone as long as live and I suggest everyone stop buying iphones My iphone did a new update that I didn't give permission to do and all of a sudden my iphone didn't recognize my battery so it wouldn't charge anymore . I called Apple and they said it's not there problem . Apple Screwed with my phone so my opinion stop buying Apple Iphone .,Negative,Negative
"I purchased this phone back in July, I was sent a defective phone, can’t make any calls without dropping them and the Face ID was disabled/broken and Apple wants to charge $798 or $900 to replace the phone. Don’t Buy!",Negative,Negative
"ive seen buckets of great looking iphone pics. having an iphone for years and havingn good pics myself thats what i expected however, MY camera wont focus, focuses on the wrong things, looks smudgy, when i zoom in it jitters non stop, i cant take a clear picture of something ten feet away. everything comes out WAY too bright unless i play with the settings and all the colors are off.this is the iphone to make me go back to android",Negative,Negative
Would've expected it to come with a sim card slot since in Canada they still come with Them. And also in the description it literally mentions there being a slot.,Negative,Negative
"I recently purchased an iPhone 15 Pro from this seller, and it was a complete disappointment. The device arrived with noticeable physical damage: there were dents along the sides and scratches on the back camera, which was unacceptable for what was supposed to be a brand-new phone. Additionally, the battery health was only at 93%, which is way below the standard for a new device. Clearly, this phone was either used or poorly refurbished, despite being sold as new. I expected far better quality for such a premium product. Save yourself the trouble and avoid this seller – I regret not paying closer attention to other reviews before purchasing.",Negative,Negative
The mobile has scratches on both sides and battery health 92%,Negative,Negative
"The phone looked new and started up fine. But during the initial startup process, it forces you to upgrade to the latest IOS, and while I tried multiple times, it would not complete the installation so I was not able to get the phone to work. It would say could not complete the install, and goes back to the welcome screen. So disappointing. The seller approved the return, I returned the phone per the instruction, but I have not been refunded the money yet.",Negative,Negative
"I didn’t expect the original box, and that’s okay with me, but what I did expect was a phone with 100% battery health. Mine had 97% battery health and 240 cycles. It also didn’t come with the original charger, or even a USB C type on both ends, also came with some few scratches on the camera. Other than that, the phone runs well, and you really feel the difference between 60hz and 120hz. Is it worth it? Still not sure about that since the few problem it came with.",Negative,Negative
